text,label,category
Free Reliance Jio recharge! Get 1 year free data. Claim: http://short.link/7fxzv4,scam,phishing/fraud
"Dear winner, your lottery ticket 1612 won first prize. Contact us immediately.",scam,phishing/fraud
HDFC Bank: Complete your pending KYC at http://tinyurl.com/laxahh or account will be suspended in 24hrs.,scam,phishing/fraud
Reminder: Update your payment method to continue your subscription. http://short.link/vq8pkd,scam,phishing/fraud
Your UPI ID has been flagged for suspicious activity. Verify at http://tinyurl.com/ew6mm7,scam,phishing/fraud
Your Amazon package will arrive between 2-5 PM today.,safe,normal
Scan this QR code to receive Rs 5 cashback instantly.,scam,phishing/fraud
Transaction alert: Rs 1000 debited. Not you? Click http://bit.ly/ic0lzi to block card.,scam,phishing/fraud
Congratulations! You won Rs. 2000 Lakhs! Claim the prize at http://bit.ly/jidknw,scam,phishing/fraud
"Dear winner, your lottery ticket 7535 won first prize. Contact us immediately.",scam,phishing/fraud
Your invoice #2823 of Rs 2 has been processed.,safe,normal
Someone shared a photo of you! Check it out: http://tinyurl.com/z0d3mp,scam,phishing/fraud
Exciting news! You qualify for a special discount. Click to redeem: http://tinyurl.com/jpkvcb,scam,phishing/fraud
Stock tip: Buy XYZ shares now for guaranteed 200% profit. Details: http://tinyurl.com/m3o55i,scam,phishing/fraud
Crypto opportunity: Double your money in 48 hours. Minimum Rs 5000. http://bit.ly/p9gkdl,scam,phishing/fraud
Amazon Gift: You've won a Samsung phone! Claim before midnight at http://short.link/id25ow,scam,phishing/fraud
Congratulations! You won Rs. 10 Lakhs! Claim the prize at http://bit.ly/39vcyr,scam,phishing/fraud
Send Rs 1 via UPI to merchant@upi and get Rs 50000 credited back instantly.,scam,phishing/fraud
Your leave request for next week has been approved.,safe,normal
Can you pick up groceries on the way home?,safe,normal
Pay Rs. 1 processing fee to raj@axisbank to claim your cashback reward.,scam,phishing/fraud
URGENT: Your account ending 3406 is frozen. Click http://tinyurl.com/fia3o1 to verify immediately.,scam,phishing/fraud
You have been selected as the lucky winner of our weekly draw. Reference 3112.,scam,phishing/fraud
You have been selected as the lucky winner of our weekly draw. Reference 1844.,scam,phishing/fraud
Hey I found a great deal on phones. Check this link: http://tinyurl.com/o07fs0,scam,phishing/fraud
Hey! Are we still on for dinner at 2:45 PM?,safe,normal
Your WhatsApp is expiring. Update now: http://bit.ly/2lhgcs,scam,phishing/fraud
Your leave request for next week has been approved.,safe,normal
Thanks for the update. I will review it shortly.,safe,normal
Let's set up a call to discuss the project timeline.,safe,normal
Send Rs 1 via UPI to merchant@upi and get Rs 10000 credited back instantly.,scam,phishing/fraud
Thanks for the update. I will review it shortly.,safe,normal
Amazon Gift: You've won a Samsung phone! Claim before midnight at http://short.link/6qmgk2,scam,phishing/fraud
You've been selected for the leadership training program. Details in email.,safe,normal
Invest Rs 1000 today and get 3x returns guaranteed in 7 days. http://short.link/8mwob4,scam,phishing/fraud
Security alert: New device logged into your Netflix account.,safe,normal
Let's set up a call to discuss the project timeline.,safe,normal
You have been selected as the lucky winner of our weekly draw. Reference 7264.,scam,phishing/fraud
Your Amazon package will arrive between 2-5 PM today.,safe,normal
Pay Rs. 100 processing fee to user@ybl to claim your cashback reward.,scam,phishing/fraud
Alert: Someone logged into your email from Russia. Secure your account: http://short.link/8f34ga,scam,phishing/fraud
Let's set up a call to discuss the project timeline.,safe,normal
Loved the movie! We should watch the sequel together.,safe,normal
Don't forget mom's birthday is next week.,safe,normal
The quarterly review meeting is moved to 9:00 AM.,safe,normal
Happy birthday! Have a great day ahead.,safe,normal
Great presentation today! The client seemed impressed.,safe,normal
Pay Rs. 2 processing fee to priya@oksbi to claim your cashback reward.,scam,phishing/fraud
Your UPI ID has been flagged for suspicious activity. Verify at http://bit.ly/v9kypo,scam,phishing/fraud
Reminder: Doctor's appointment tomorrow at 12:30 PM.,safe,normal
Stock tip: Buy XYZ shares now for guaranteed 200% profit. Details: http://short.link/2hgj11,scam,phishing/fraud
Don't forget mom's birthday is next week.,safe,normal
Invest Rs 100 today and get 3x returns guaranteed in 7 days. http://short.link/wrr513,scam,phishing/fraud
The project deadline is next Friday. Let's plan accordingly.,safe,normal
Work from home opportunity. Earn Rs 1000K daily. Registration at http://bit.ly/k7917x,scam,phishing/fraud
Selected for internship at Google. Pay 500 registration fee to proceed.,scam,phishing/fraud
Can you pick up groceries on the way home?,safe,normal
Your Amazon package will arrive between 2-5 PM today.,safe,normal
Reminder: Doctor's appointment tomorrow at 9:00 PM.,safe,normal
Good morning! Hope you have a productive day.,safe,normal
The food was amazing. Thanks for the recommendation!,safe,normal
Scan this QR code to receive Rs 25 cashback instantly.,scam,phishing/fraud
Offer Letter! Join our firm as Digital Marketing Manager. Mandatory training kit fee Rs. 5000 via priya@oksbi.,scam,phishing/fraud
Get 20% off on your next order. Use code SAVE20 at checkout.,safe,normal
HDFC Bank: Complete your pending KYC at http://tinyurl.com/umygy0 or account will be suspended in 24hrs.,scam,phishing/fraud
Limited seats available for the workshop. Register on the company portal.,safe,normal
Quick reminder to submit your timesheet by end of day.,safe,normal
Great presentation today! The client seemed impressed.,safe,normal
Happy birthday! Have a great day ahead.,safe,normal
Meeting is scheduled for 6:15 PM. See you there.,safe,normal
Transaction alert: Rs 1 debited. Not you? Click http://tinyurl.com/1nlc8j to block card.,scam,phishing/fraud
Stock tip: Buy XYZ shares now for guaranteed 200% profit. Details: http://short.link/hxfgca,scam,phishing/fraud
Your Amazon package will arrive between 2-5 PM today.,safe,normal
Your bank OTP is 3043. If not initiated by you call 7585988310 immediately.,scam,phishing/fraud
Electricity bill for this month: Rs 10000. Due date: 20th.,safe,normal
I've pushed the code changes to the feature branch.,safe,normal
Thanks for the update. I will review it shortly.,safe,normal
Offer Letter! Join our firm as Customer Support. Mandatory training kit fee Rs. 5000 via raj@axisbank.,scam,phishing/fraud
The food was amazing. Thanks for the recommendation!,safe,normal
Your Amazon package will arrive between 2-5 PM today.,safe,normal
Happy birthday! Have a great day ahead.,safe,normal
The quarterly review meeting is moved to 12:30 AM.,safe,normal
URGENT: Your account ending 9174 is frozen. Click http://bit.ly/jvk8c4 to verify immediately.,scam,phishing/fraud
Electricity bill for this month: Rs 2000. Due date: 20th.,safe,normal
Congratulations! You won Rs. 10 Lakhs! Claim the prize at http://tinyurl.com/83ru7m,scam,phishing/fraud
Your bank OTP is 7833. If not initiated by you call 0568761124 immediately.,scam,phishing/fraud
Work from home opportunity. Earn Rs 100K daily. Registration at http://tinyurl.com/abkae6,scam,phishing/fraud
Electricity bill for this month: Rs 50. Due date: 20th.,safe,normal
Congratulations! You won Rs. 100 Lakhs! Claim the prize at http://tinyurl.com/u6vfua,scam,phishing/fraud
Your Swiggy order has been delivered. Enjoy your meal!,safe,normal
Congratulations! You won Rs. 1000 Lakhs! Claim the prize at http://tinyurl.com/9er94t,scam,phishing/fraud
Your Swiggy order has been delivered. Enjoy your meal!,safe,normal
Work from home opportunity. Earn Rs 2000K daily. Registration at http://short.link/2ii826,scam,phishing/fraud
Could you please share the design files for review?,safe,normal
Crypto opportunity: Double your money in 48 hours. Minimum Rs 50. http://bit.ly/qsosx4,scam,phishing/fraud
Free Reliance Jio recharge! Get 1 year free data. Claim: http://tinyurl.com/wu4cfi,scam,phishing/fraud
Loved the movie! We should watch the sequel together.,safe,normal
"FYI, the new office policy starts Monday.",safe,normal
Meeting is scheduled for 4:45 PM. See you there.,safe,normal
Meeting is scheduled for 3:15 PM. See you there.,safe,normal
Meeting is scheduled for 2:30 PM. See you there.,safe,normal
Great presentation today! The client seemed impressed.,safe,normal
Your OTP for net banking login is 2982. Valid for 5 minutes.,safe,normal
Your mobile number won Rs 50 in Jio lottery. Contact +917520471167 now.,scam,phishing/fraud
URGENT: Your account ending 8532 is frozen. Click http://bit.ly/5uuzpe to verify immediately.,scam,phishing/fraud
Quick reminder to submit your timesheet by end of day.,safe,normal
Thanks for the update. I will review it shortly.,safe,normal
Great presentation today! The client seemed impressed.,safe,normal
Alert: Someone logged into your email from Russia. Secure your account: http://short.link/j1qi9m,scam,phishing/fraud
Let's set up a call to discuss the project timeline.,safe,normal
Hiring Data Entry Operator. No interview needed. Deposit Rs 1500 security fee via priya@oksbi.,scam,phishing/fraud
Reminder: Doctor's appointment tomorrow at 10:30 PM.,safe,normal
Good morning! Hope you have a productive day.,safe,normal
I've pushed the code changes to the feature branch.,safe,normal
Send Rs 1 via UPI to seller@paytm and get Rs 1 credited back instantly.,scam,phishing/fraud
Send Rs 1 via UPI to seller@paytm and get Rs 5000 credited back instantly.,scam,phishing/fraud
The quarterly review meeting is moved to 10:15 AM.,safe,normal
The quarterly review meeting is moved to 10:00 PM.,safe,normal
Your mobile number won Rs 5000 in Jio lottery. Contact +915228728080 now.,scam,phishing/fraud
Selected for internship at Google. Pay 2 registration fee to proceed.,scam,phishing/fraud
Happy birthday! Have a great day ahead.,safe,normal
Amazon Gift: You've won a Samsung phone! Claim before midnight at http://short.link/ersduh,scam,phishing/fraud
Your UPI ID has been flagged for suspicious activity. Verify at http://short.link/ztd3im,scam,phishing/fraud
Hey I found a great deal on phones. Check this link: http://tinyurl.com/c0tsdw,scam,phishing/fraud
"Hi, just wanted to let you know about a limited time investment opportunity. DM me for details.",scam,phishing/fraud
Reminder: Update your payment method to continue your subscription. http://tinyurl.com/ur4lmy,scam,phishing/fraud
Reminder: Update your payment method to continue your subscription. http://short.link/di99ma,scam,phishing/fraud
Your bank OTP is 3824. If not initiated by you call 2827090814 immediately.,scam,phishing/fraud
Your leave request for next week has been approved.,safe,normal
Your Amazon package will arrive between 2-5 PM today.,safe,normal
"Hi, just wanted to let you know about a limited time investment opportunity. DM me for details.",scam,phishing/fraud
Reminder: Update your payment method to continue your subscription. http://short.link/8k2h90,scam,phishing/fraud
Congratulations on the promotion! Well deserved!,safe,normal
Please find the attached project report for the Digital Marketing Manager position.,safe,normal
Get 20% off on your next order. Use code SAVE20 at checkout.,safe,normal
Please find the attached project report for the Customer Support position.,safe,normal
Your Swiggy order has been delivered. Enjoy your meal!,safe,normal
Your UPI ID has been flagged for suspicious activity. Verify at http://short.link/zl46q5,scam,phishing/fraud
The food was amazing. Thanks for the recommendation!,safe,normal
You've been selected for the leadership training program. Details in email.,safe,normal
Alert: Your credit card statement is ready. View in the banking app.,safe,normal
Can you send me the notes from yesterday's lecture?,safe,normal
Selected for internship at Google. Pay 50 registration fee to proceed.,scam,phishing/fraud
Your UPI ID has been flagged for suspicious activity. Verify at http://bit.ly/wwjwga,scam,phishing/fraud
Let's set up a call to discuss the project timeline.,safe,normal
Pay Rs. 10 processing fee to priya@oksbi to claim your cashback reward.,scam,phishing/fraud
Stock tip: Buy XYZ shares now for guaranteed 200% profit. Details: http://short.link/7uww5w,scam,phishing/fraud
Your invoice #6679 of Rs 10000 has been processed.,safe,normal
Could you please share the design files for review?,safe,normal
Alert: Someone logged into your email from Russia. Secure your account: http://bit.ly/dwkzir,scam,phishing/fraud
Loved the movie! We should watch the sequel together.,safe,normal
Scan this QR code to receive Rs 1000 cashback instantly.,scam,phishing/fraud
You have been selected as the lucky winner of our weekly draw. Reference 9079.,scam,phishing/fraud
Amazon Gift: You've won a Samsung phone! Claim before midnight at http://tinyurl.com/slomey,scam,phishing/fraud
Happy birthday! Have a great day ahead.,safe,normal
Click here to join the Zoom meeting: https://zoom.us/j/1644,safe,normal
Exciting news! You qualify for a special discount. Click to redeem: http://short.link/2z0auf,scam,phishing/fraud
The project deadline is next Friday. Let's plan accordingly.,safe,normal
Send Rs 1 via UPI to seller@paytm and get Rs 10000 credited back instantly.,scam,phishing/fraud
Your Amazon package will arrive between 2-5 PM today.,safe,normal
Stock tip: Buy XYZ shares now for guaranteed 200% profit. Details: http://short.link/uduahg,scam,phishing/fraud
The food was amazing. Thanks for the recommendation!,safe,normal
Pay Rs. 50000 processing fee to priya@oksbi to claim your cashback reward.,scam,phishing/fraud
Your order has been placed successfully. Track: http://short.link/9v2qji,scam,phishing/fraud
Dear customer your SBI account is blocked. Re-activate using http://short.link/9w5n9c,scam,phishing/fraud
Your order has been placed successfully. Track: http://short.link/qdz98j,scam,phishing/fraud
I'll be 10 minutes late. Start without me.,safe,normal
Hey! Are we still on for dinner at 3:15 AM?,safe,normal
Your Swiggy order has been delivered. Enjoy your meal!,safe,normal
Invest Rs 2 today and get 3x returns guaranteed in 7 days. http://bit.ly/eqnsn2,scam,phishing/fraud
I've pushed the code changes to the feature branch.,safe,normal
"FYI, the new office policy starts Monday.",safe,normal
Stock tip: Buy XYZ shares now for guaranteed 200% profit. Details: http://tinyurl.com/8qqvae,scam,phishing/fraud
Alert: Your credit card statement is ready. View in the banking app.,safe,normal
Free Reliance Jio recharge! Get 1 year free data. Claim: http://tinyurl.com/qmrunj,scam,phishing/fraud
Quick survey: answer 3 questions to win a gift card worth Rs 25. http://short.link/ohcu0e,scam,phishing/fraud
Your UPI ID has been flagged for suspicious activity. Verify at http://tinyurl.com/sf6f7l,scam,phishing/fraud
Security alert: New device logged into your Netflix account.,safe,normal
You have been selected as the lucky winner of our weekly draw. Reference 2052.,scam,phishing/fraud
Happy birthday! Have a great day ahead.,safe,normal
Scan this QR code to receive Rs 50 cashback instantly.,scam,phishing/fraud
Exciting news! You qualify for a special discount. Click to redeem: http://tinyurl.com/zgylkc,scam,phishing/fraud
Your WhatsApp is expiring. Update now: http://tinyurl.com/nqyyf9,scam,phishing/fraud
Your order has been placed successfully. Track: http://short.link/btzgtl,scam,phishing/fraud
Your Amazon package will arrive between 2-5 PM today.,safe,normal
The food was amazing. Thanks for the recommendation!,safe,normal
Pay Rs. 25 processing fee to merchant@upi to claim your cashback reward.,scam,phishing/fraud
Your Amazon package will arrive between 2-5 PM today.,safe,normal
Offer Letter! Join our firm as Customer Support. Mandatory training kit fee Rs. 5000 via merchant@upi.,scam,phishing/fraud
Could you please share the design files for review?,safe,normal
Please find the attached project report for the Data Entry Operator position.,safe,normal
Exciting news! You qualify for a special discount. Click to redeem: http://bit.ly/ept6aa,scam,phishing/fraud
"Dear winner, your lottery ticket 4694 won first prize. Contact us immediately.",scam,phishing/fraud
Claim your employee referral bonus of Rs 500 from HR.,safe,normal
Please find the attached project report for the Software Developer position.,safe,normal
Can you send Rs 25 to merchant@upi? I'll pay you back with interest tomorrow.,scam,phishing/fraud
Transaction alert: Rs 1000 debited. Not you? Click http://tinyurl.com/nxzdzb to block card.,scam,phishing/fraud
Work from home opportunity. Earn Rs 50000K daily. Registration at http://tinyurl.com/dgd8op,scam,phishing/fraud
Amazon Gift: You've won a Samsung phone! Claim before midnight at http://bit.ly/g4ofdt,scam,phishing/fraud
Electricity bill for this month: Rs 2. Due date: 20th.,safe,normal
Loved the movie! We should watch the sequel together.,safe,normal
Let's set up a call to discuss the project timeline.,safe,normal
Hey! Are we still on for dinner at 1:30 PM?,safe,normal
Electricity bill for this month: Rs 2000. Due date: 20th.,safe,normal
Your bank OTP is 3077. If not initiated by you call 5243728051 immediately.,scam,phishing/fraud
Let's catch up this weekend. Are you free?,safe,normal
Your Uber ride receipt: Rs 1000. Trip from MG Road to Indiranagar.,safe,normal
Your OTP for net banking login is 8057. Valid for 5 minutes.,safe,normal
Meeting is scheduled for 9:15 PM. See you there.,safe,normal
Offer Letter! Join our firm as Digital Marketing Manager. Mandatory training kit fee Rs. 5000 via priya@oksbi.,scam,phishing/fraud
Security alert: New device logged into your Netflix account.,safe,normal
Transaction alert: Rs 5 debited. Not you? Click http://bit.ly/efoztp to block card.,scam,phishing/fraud
Quick reminder to submit your timesheet by end of day.,safe,normal
Dear customer your SBI account is blocked. Re-activate using http://short.link/u4pllg,scam,phishing/fraud
Your OTP for net banking login is 5673. Valid for 5 minutes.,safe,normal
Electricity bill for this month: Rs 100. Due date: 20th.,safe,normal
Thanks for the update. I will review it shortly.,safe,normal
Dear customer your SBI account is blocked. Re-activate using http://tinyurl.com/1udp2f,scam,phishing/fraud
Free Reliance Jio recharge! Get 1 year free data. Claim: http://tinyurl.com/bwhvnz,scam,phishing/fraud
Meeting is scheduled for 11:45 AM. See you there.,safe,normal
Exciting news! You qualify for a special discount. Click to redeem: http://short.link/7nfud1,scam,phishing/fraud
Transaction alert: Rs 1000 debited. Not you? Click http://bit.ly/80ebkj to block card.,scam,phishing/fraud
Transaction alert: Rs 10 debited. Not you? Click http://bit.ly/lv69eo to block card.,scam,phishing/fraud
Offer Letter! Join our firm as Business Analyst. Mandatory training kit fee Rs. 5000 via priya@oksbi.,scam,phishing/fraud
Alert: Your credit card statement is ready. View in the banking app.,safe,normal
The quarterly review meeting is moved to 9:15 AM.,safe,normal
Could you please share the design files for review?,safe,normal
Amazon Gift: You've won a Samsung phone! Claim before midnight at http://bit.ly/sechu3,scam,phishing/fraud
Your OTP for net banking login is 3199. Valid for 5 minutes.,safe,normal
I've pushed the code changes to the feature branch.,safe,normal
Your bank OTP is 1878. If not initiated by you call 7496499091 immediately.,scam,phishing/fraud
Work from home opportunity. Earn Rs 25K daily. Registration at http://short.link/xho87f,scam,phishing/fraud
Loved the movie! We should watch the sequel together.,safe,normal
Get 20% off on your next order. Use code SAVE20 at checkout.,safe,normal
Your leave request for next week has been approved.,safe,normal
Electricity bill for this month: Rs 25. Due date: 20th.,safe,normal
Crypto opportunity: Double your money in 48 hours. Minimum Rs 50000. http://short.link/vmdnhq,scam,phishing/fraud
Selected for internship at Google. Pay 2000 registration fee to proceed.,scam,phishing/fraud
Quick reminder to submit your timesheet by end of day.,safe,normal
Send Rs 1 via UPI to merchant@upi and get Rs 50000 credited back instantly.,scam,phishing/fraud
Congratulations! You won Rs. 2 Lakhs! Claim the prize at http://short.link/wm1sav,scam,phishing/fraud
Hiring Data Entry Operator. No interview needed. Deposit Rs 1500 security fee via raj@axisbank.,scam,phishing/fraud
URGENT: Your account ending 8225 is frozen. Click http://tinyurl.com/pohswq to verify immediately.,scam,phishing/fraud
HDFC Bank: Complete your pending KYC at http://bit.ly/lf6a4f or account will be suspended in 24hrs.,scam,phishing/fraud
Your mobile number won Rs 50 in Jio lottery. Contact +913465549471 now.,scam,phishing/fraud
Hey I found a great deal on phones. Check this link: http://bit.ly/rxyco8,scam,phishing/fraud
Meeting is scheduled for 1:00 PM. See you there.,safe,normal
Send Rs 1 via UPI to merchant@upi and get Rs 500 credited back instantly.,scam,phishing/fraud
The project deadline is next Friday. Let's plan accordingly.,safe,normal
Hey I found a great deal on phones. Check this link: http://bit.ly/2t5woq,scam,phishing/fraud
Get 20% off on your next order. Use code SAVE20 at checkout.,safe,normal
Congratulations! You won Rs. 10000 Lakhs! Claim the prize at http://bit.ly/xn2ela,scam,phishing/fraud
Pay Rs. 1 processing fee to seller@paytm to claim your cashback reward.,scam,phishing/fraud
Quick survey: answer 3 questions to win a gift card worth Rs 5000. http://short.link/e2u7fm,scam,phishing/fraud
Loved the movie! We should watch the sequel together.,safe,normal
Work from home opportunity. Earn Rs 100K daily. Registration at http://bit.ly/kvblpx,scam,phishing/fraud
"FYI, the new office policy starts Monday.",safe,normal
Let's set up a call to discuss the project timeline.,safe,normal
Electricity bill for this month: Rs 10. Due date: 20th.,safe,normal
The project deadline is next Friday. Let's plan accordingly.,safe,normal
Verify your WhatsApp account or it will be deleted: http://bit.ly/1811mz,scam,phishing/fraud
Scan this QR code to receive Rs 25 cashback instantly.,scam,phishing/fraud
Click here to join the Zoom meeting: https://zoom.us/j/3447,safe,normal
Offer Letter! Join our firm as Customer Support. Mandatory training kit fee Rs. 5000 via priya@oksbi.,scam,phishing/fraud
Your mobile number won Rs 5 in Jio lottery. Contact +911815352373 now.,scam,phishing/fraud
HDFC Bank: Complete your pending KYC at http://tinyurl.com/t1yjfe or account will be suspended in 24hrs.,scam,phishing/fraud
Quick survey: answer 3 questions to win a gift card worth Rs 1. http://bit.ly/sh7n1b,scam,phishing/fraud
You have been selected as the lucky winner of our weekly draw. Reference 9108.,scam,phishing/fraud
Please find the attached project report for the Customer Support position.,safe,normal
"FYI, the new office policy starts Monday.",safe,normal
Your mobile number won Rs 100 in Jio lottery. Contact +913153779599 now.,scam,phishing/fraud
Security alert: New device logged into your Netflix account.,safe,normal
Loved the movie! We should watch the sequel together.,safe,normal
URGENT: Your account ending 4541 is frozen. Click http://tinyurl.com/3gdhvs to verify immediately.,scam,phishing/fraud
"FYI, the new office policy starts Monday.",safe,normal
Stock tip: Buy XYZ shares now for guaranteed 200% profit. Details: http://bit.ly/f1bcpp,scam,phishing/fraud
The project deadline is next Friday. Let's plan accordingly.,safe,normal
I've pushed the code changes to the feature branch.,safe,normal
Offer Letter! Join our firm as Software Developer. Mandatory training kit fee Rs. 5000 via user@ybl.,scam,phishing/fraud
Can you pick up groceries on the way home?,safe,normal
Crypto opportunity: Double your money in 48 hours. Minimum Rs 10. http://short.link/h23c42,scam,phishing/fraud
Meeting is scheduled for 1:00 PM. See you there.,safe,normal
Send Rs 1 via UPI to raj@axisbank and get Rs 2000 credited back instantly.,scam,phishing/fraud
"Dear winner, your lottery ticket 7074 won first prize. Contact us immediately.",scam,phishing/fraud
Let's set up a call to discuss the project timeline.,safe,normal
I'll be 10 minutes late. Start without me.,safe,normal
I've pushed the code changes to the feature branch.,safe,normal
Your UPI ID has been flagged for suspicious activity. Verify at http://tinyurl.com/3v1wnp,scam,phishing/fraud
Meeting is scheduled for 3:45 AM. See you there.,safe,normal
Quick survey: answer 3 questions to win a gift card worth Rs 10000. http://bit.ly/fyjdl2,scam,phishing/fraud
Someone shared a photo of you! Check it out: http://tinyurl.com/folt34,scam,phishing/fraud
Amazon Gift: You've won a Samsung phone! Claim before midnight at http://tinyurl.com/m6dfhg,scam,phishing/fraud
You've been selected for the leadership training program. Details in email.,safe,normal
You've been selected for the leadership training program. Details in email.,safe,normal
Special government scheme! Get Rs 5 deposited directly. Apply: http://tinyurl.com/dc79fl,scam,phishing/fraud
Let's set up a call to discuss the project timeline.,safe,normal
HDFC Bank: Complete your pending KYC at http://bit.ly/v9e40k or account will be suspended in 24hrs.,scam,phishing/fraud
Just checking in. How are you doing?,safe,normal
"FYI, the new office policy starts Monday.",safe,normal
Special government scheme! Get Rs 10000 deposited directly. Apply: http://short.link/ibwgt2,scam,phishing/fraud
Selected for internship at Google. Pay 2 registration fee to proceed.,scam,phishing/fraud
Could you please share the design files for review?,safe,normal
Your Amazon package will arrive between 2-5 PM today.,safe,normal
The food was amazing. Thanks for the recommendation!,safe,normal
Offer Letter! Join our firm as Digital Marketing Manager. Mandatory training kit fee Rs. 5000 via merchant@upi.,scam,phishing/fraud
